City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
364,Karratha,AU,-20.7377,116.8463,83.77,27,14,9.48,few clouds
365,Te Anau,NZ,-45.4167,167.7167,56.3,78,97,0.89,overcast clouds
366,Lisakovsk,KZ,52.5369,62.4936,24.57,75,91,15.97,overcast clouds
367,Liaoyang,CN,41.2719,123.1731,16.12,70,9,9.73,clear sky
368,Kununurra,AU,-15.7667,128.7333,73.38,73,8,0.0,clear sky
369,Vila Velha,BR,-20.3297,-40.2925,80.55,90,20,11.01,moderate rain
370,Eirunepe,BR,-6.6603,-69.8736,75.04,92,100,1.74,overcast clouds
371,Lyuban,BY,52.7985,28.0048,28.98,96,99,8.37,light snow
372,Hajdudorog,HU,47.8167,21.5,37.36,88,100,23.47,overcast clouds
373,Moussoro,TD,13.6408,16.4901,81.72,19,7,12.37,clear sky
374,Bar Harbor,US,44.3876,-68.2039,33.98,63,75,5.75,broken clouds
375,Mount Gambier,AU,-37.8333,140.7667,58.91,94,90,14.97,overcast clouds
376,Muros,ES,42.7762,-9.0603,55.99,93,100,6.38,overcast clouds
377,Marzuq,YE,14.4,46.4667,58.84,30,0,3.02,clear sky
378,Ulverstone,AU,-41.15,146.1667,62.29,81,95,6.38,overcast clouds
379,Puerto Palomas,MX,31.7667,-107.6167,68.32,24,2,3.87,clear sky
380,Le Port,RE,-20.9373,55.2919,77.0,81,11,2.28,few clouds
381,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,3.0,broken clouds
382,Mersin,TR,36.862,34.6509,65.55,81,92,5.82,overcast clouds
383,Sabang,ID,5.8933,95.3214,79.36,82,100,12.37,overcast clouds
384,Nong Kung Si,TH,16.65,103.3,66.81,99,35,6.71,scattered clouds
385,Coihaique,CL,-45.5752,-72.0662,68.61,37,20,8.05,few clouds
386,Jishou,CN,28.3167,109.7167,45.09,70,1,2.39,clear sky
387,San Cristobal,VE,7.7669,-72.225,78.98,56,100,4.88,overcast clouds
388,Karabulak,RU,43.3036,44.8964,47.39,75,0,4.85,clear sky
389,Myingyan,MM,21.4667,95.3833,67.3,78,58,5.03,broken clouds
