City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
357,Tefe,BR,84.31,broken clouds,-3.3542,-64.7114,Aracati Hotel
358,Mahibadhoo,MV,81.86,clear sky,3.7833,72.9667,Omadhoo Inn
362,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
363,Vasai,IN,80.69,overcast clouds,19.47,72.8,Go Firne
364,Karratha,AU,83.77,few clouds,-20.7377,116.8463,ibis Styles Karratha
369,Vila Velha,BR,80.55,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
370,Eirunepe,BR,75.04,overcast clouds,-6.6603,-69.8736,Atrás de você
373,Moussoro,TD,81.72,clear sky,13.6408,16.4901,Hôtel Salama
380,Le Port,RE,77.0,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
383,Sabang,ID,79.36,overcast clouds,5.8933,95.3214,Hotel Citra
387,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
390,Palembang,ID,75.0,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
400,Faanui,PF,80.44,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
410,Moerai,PF,77.99,light rain,-22.4333,-151.3333,Le Manotel
412,Karangsembung,ID,77.7,overcast clouds,-6.8487,108.6422,MMH
413,Lubbock,US,76.14,scattered clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
414,Pecos,US,80.69,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
417,Jaciara,BR,78.08,overcast clouds,-15.9653,-54.9683,Taba Hotel
419,Namatanai,PG,82.11,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
424,Townsville,AU,79.68,few clouds,-19.25,146.8,Rydges Southbank Townsville
434,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
440,Samfya,ZM,78.42,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
442,Victoria Point,AU,75.16,overcast clouds,-27.5833,153.3,Bay Retreat Motel
443,Maumere,ID,81.05,overcast clouds,-8.6199,122.2111,Sylvia Hotel
445,Safford,US,75.52,broken clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
447,Harper,LR,79.59,overcast clouds,4.375,-7.7169,Screensaver
450,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
452,Auki,SB,81.97,overcast clouds,-8.7676,160.7034,Auki Motel
454,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
456,Cayenne,GF,78.84,mist,4.9333,-52.3333,Hôtel Le Dronmi
458,Caldas Novas,BR,76.55,overcast clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
461,Ilheus,BR,78.24,overcast clouds,-14.7889,-39.0494,Barravento Hotel
463,Warri,NG,78.13,broken clouds,5.5167,5.75,BON Hotel Delta
466,Puerto Suarez,BO,87.75,broken clouds,-18.95,-57.8,Hotel casa real
467,Kieta,PG,82.13,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
468,Acopiara,BR,86.81,overcast clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
482,Hobyo,SO,79.36,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
484,Acari,PE,75.45,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
487,Umm Lajj,SA,79.81,scattered clouds,25.0213,37.2685,Moon light Furnished Units
490,Kloulklubed,PW,85.06,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
497,Puerto Ayacucho,VE,88.34,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
500,Benguela,AO,77.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
506,Yenagoa,NG,77.59,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
509,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
511,Sola,VU,81.39,overcast clouds,-13.8833,167.55,Leumerus Bungalows
520,Tenosique,MX,81.14,broken clouds,17.4833,-91.4333,Hotel Central
522,Caravelas,BR,78.55,light rain,-17.7125,-39.2481,Pousada dos Navegantes
527,Banjar,ID,75.94,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
530,Presidente Medici,BR,84.42,heavy intensity rain,-11.1753,-61.9014,Oliveira Palace Hotel
